ID;STATION CODE;LOCATIONS;STATE;Temp;TempW;DO;DOW;Conductivity;ConductivityW;NI;NIW;WQI;WQI clf
1378;1625;NAMBUL HUMP BRIDGE. MANIPUR;MANIPUR;25;0.47;1.9;0.16;537;0.008;0.52;0.004692244;159.3806368;0
1379;1626;NAMBUL HEIRANGOITHONG. MANIPUR;MANIPUR;25;0.47;7.7;0.69;550;0.008;0.52;0.004692244;135.9236133;0
1391;1404;GUMTI AT D/S SOUTH TRIPURA. TRIPURA;TRIPURA;29;0.69;6.3;0.56;164;0.002;0.1;0.000828043;85.07397072;0
1392;1726;CHANDRAPUR. AGARTALA D/S OF HAORA RIVER. TRIPURA;TRIPURA;28;0.64;5.7;0.5;170;0.002;0.2;0.001748091;97.3594658;0
1393;1631;MYNTDU JAINTIA HILLS MEGHALAYA;MEGHALAYA;21;0.25;6.4;0.57;;0;2.675;0.024519275;118.1379757;0
1398;1246;DAMANGANGA AT KACHIGAON D\S (DAMAN).GUJARAT;GUJARAT;25;0.47;4.9;0.43;10362;0.158;0.64;0.005796301;142.1392281;0
1399;1860;BALEHWAR KHADI AT N.H. NO. 8;GUJARAT;27;0.58;5.1;0.45;530;0.008;0.6;0.005428282;1531.241921;0
1400;1861;RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY;GUJARAT;28;0.64;6;0.53;612;0.009;0.4;0.003588187;730.8344116;0
1401;1862;RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD;GUJARAT;30;0.75;6.1;0.54;8782;0.134;0.43;0.003864201;443.1029846;0
1402;1865;RIVER DHADAR AT KOTHADA;GUJARAT;27;0.58;1.1;0.08;1076;0.016;0.63;0.005704297;147.6709191;0
1403;1148;AMBIKA AT BILIMORA. GUJARAT;GUJARAT;29;0.69;6.8;0.61;3431;0.052;0.3;0.002668139;801.1034226;0
1404;1149;KOLAK AT PATALIA BDG.. GUJARAT;GUJARAT;25;0.47;4.5;0.39;1161;0.018;0.53;0.004784249;127.3343893;0
